sensor,baseline,minutes,pid,macro,early_late_contrast_cosine,binary_accuracy
Libre GL,start,60,10,carbs,0.8722121715823121,1.0
Libre GL,start,60,10,protein,-0.31990068720211323,0.5
Libre GL,start,60,10,fat,-0.7060838517850849,0.5
Libre GL,start,60,14,carbs,0.9694277411589381,1.0
Libre GL,start,60,14,protein,0.9104051642674796,1.0
Libre GL,start,60,14,fat,0.9756986294735656,1.0
Libre GL,start,60,17,carbs,0.2339323880335814,0.5
Libre GL,start,60,17,protein,-0.3377628584788978,0.5
Libre GL,start,60,17,fat,-0.3133987061301126,0.5
Libre GL,start,60,27,carbs,0.17218476119556927,0.5
Libre GL,start,60,27,protein,0.7176914663280879,0.5
Libre GL,start,60,27,fat,0.9644302907203453,0.5
Libre GL,start,60,31,carbs,0.3788636662559626,1.0
Libre GL,start,60,31,protein,0.9019615688019472,0.5
Libre GL,start,60,31,fat,0.09913817943619102,0.5
Libre GL,start,60,32,carbs,-0.9916423154819577,0.0
Libre GL,start,60,32,protein,-0.9461996158325113,0.5
Libre GL,start,60,32,fat,-0.9438201546216654,0.0
Libre GL,start,60,34,carbs,0.8526488384519827,1.0
Libre GL,start,60,34,protein,0.39303372671257736,0.5
Libre GL,start,60,34,fat,-0.4814847966805455,0.5
Libre GL,start,60,35,carbs,0.9901337915656321,0.5
Libre GL,start,60,35,protein,0.4984163752613987,1.0
Libre GL,start,60,35,fat,-0.5245451850096579,0.0
Libre GL,start,60,36,carbs,0.8246240604666126,0.5
Libre GL,start,60,36,protein,0.7956297382906055,0.5
Libre GL,start,60,36,fat,0.7387099684579647,0.5
Libre GL,start,60,38,carbs,0.7332680988207668,1.0
Libre GL,start,60,38,protein,-0.13536056951799436,0.5
Libre GL,start,60,38,fat,0.9651042977239581,0.5
Libre GL,start,60,41,carbs,0.992657862374569,1.0
Libre GL,start,60,41,protein,0.9735122680385022,0.5
Libre GL,start,60,41,fat,0.5476981211589503,0.5
Libre GL,start,60,42,carbs,0.09309154434328279,0.5
Libre GL,start,60,42,protein,-0.8578367115708244,0.5
Libre GL,start,60,42,fat,0.86184044043214,0.5
Libre GL,start,60,43,carbs,0.98846520471471,1.0
Libre GL,start,60,43,protein,0.8863212783889802,0.5
Libre GL,start,60,43,fat,0.8738810603074915,1.0
Libre GL,start,60,44,carbs,0.5750986488030113,1.0
Libre GL,start,60,44,protein,-0.30422700322421986,0.5
Libre GL,start,60,44,fat,-0.9922684259070641,0.0
Libre GL,start,60,45,carbs,0.9168189418058065,1.0
Libre GL,start,60,45,protein,0.9948590854584686,1.0
Libre GL,start,60,45,fat,0.9624200362606988,1.0
Libre GL,start,60,49,carbs,0.9245557730481667,0.5
Libre GL,start,60,49,protein,-0.8874379215590583,0.5
Libre GL,start,60,49,fat,-0.9802367394046366,0.0
Libre GL,start,120,1,carbs,-0.08933287004807693,0.5
Libre GL,start,120,1,protein,0.4865502224726997,0.5
Libre GL,start,120,1,fat,0.6107379156664572,0.5
Libre GL,start,120,2,carbs,0.8999489719150475,1.0
Libre GL,start,120,2,protein,-0.597814251577249,0.0
Libre GL,start,120,2,fat,-0.8074952607996129,0.0
Libre GL,start,120,5,carbs,-0.4435347665134157,0.0
Libre GL,start,120,5,protein,-0.4431821590593164,0.0
Libre GL,start,120,5,fat,-0.369438297957763,0.5
Libre GL,start,120,6,carbs,-0.5921137962706888,0.0
Libre GL,start,120,6,protein,0.09014243964144614,0.5
Libre GL,start,120,6,fat,0.41635959708198506,0.5
Libre GL,start,120,8,carbs,0.9689735753425702,1.0
Libre GL,start,120,8,protein,0.9350463278535015,1.0
Libre GL,start,120,8,fat,0.962713071749914,1.0
Libre GL,start,120,9,carbs,0.8935280716981074,1.0
Libre GL,start,120,9,protein,0.7270794803672394,0.5
Libre GL,start,120,9,fat,0.6400795162125074,0.5
Libre GL,start,120,10,carbs,0.6533241423540298,1.0
Libre GL,start,120,10,protein,-0.673347311191067,0.0
Libre GL,start,120,10,fat,-0.09462534390430048,0.5
Libre GL,start,120,14,carbs,0.972720621145094,1.0
Libre GL,start,120,14,protein,0.8865423178027548,0.5
Libre GL,start,120,14,fat,0.8690030531779767,1.0
Libre GL,start,120,17,carbs,0.7898672099377162,0.5
Libre GL,start,120,17,protein,-0.0845561200094527,0.0
Libre GL,start,120,17,fat,-0.04965745316685147,0.5
Libre GL,start,120,27,carbs,0.7983902206040274,1.0
Libre GL,start,120,27,protein,-0.4306971648230983,0.5
Libre GL,start,120,27,fat,0.9804455711198533,0.5
Libre GL,start,120,31,carbs,0.6186096726765492,1.0
Libre GL,start,120,31,protein,0.8524273004823275,0.5
Libre GL,start,120,31,fat,0.04813094333811138,0.5
Libre GL,start,120,32,carbs,-0.9699772333512705,0.0
Libre GL,start,120,32,protein,-0.7798576363680695,0.0
Libre GL,start,120,32,fat,-0.8859178236567381,0.0
Libre GL,start,120,34,carbs,0.6321664583675147,1.0
Libre GL,start,120,34,protein,0.3746861786757771,0.5
Libre GL,start,120,34,fat,-0.02471978952168507,0.5
Libre GL,start,120,35,carbs,0.8098510788661978,0.5
Libre GL,start,120,35,protein,-0.5516967209955799,0.5
Libre GL,start,120,35,fat,-0.6437856384264512,0.0
Libre GL,start,120,36,carbs,0.7425015217751084,0.5
Libre GL,start,120,36,protein,-0.12830252036066683,0.5
Libre GL,start,120,36,fat,-0.7320554652563046,0.5
Libre GL,start,120,38,carbs,0.7025171459301714,1.0
Libre GL,start,120,38,protein,0.32280891587017974,1.0
Libre GL,start,120,38,fat,0.0671939647130968,1.0
Libre GL,start,120,41,carbs,0.9864332565112389,1.0
Libre GL,start,120,41,protein,0.9982141863667523,0.5
Libre GL,start,120,41,fat,0.5198677814609425,0.5
Libre GL,start,120,42,carbs,-0.6912770338781803,0.5
Libre GL,start,120,42,protein,-0.9607379486767106,0.5
Libre GL,start,120,42,fat,-0.25591031462838315,0.5
Libre GL,start,120,43,carbs,0.9224821685495981,1.0
Libre GL,start,120,43,protein,0.6460405897409555,0.5
Libre GL,start,120,43,fat,0.5939560397114696,1.0
Libre GL,start,120,44,carbs,0.9621480364256171,1.0
Libre GL,start,120,44,protein,0.23776047033166042,0.5
Libre GL,start,120,44,fat,-0.18431074993456187,0.5
Libre GL,start,120,45,carbs,0.8987895770317617,1.0
Libre GL,start,120,45,protein,0.27302193511889095,1.0
Libre GL,start,120,45,fat,0.6639987977128347,1.0
Libre GL,start,120,49,carbs,0.9063205743194664,0.5
Libre GL,start,120,49,protein,-0.9745668349849756,0.5
Libre GL,start,120,49,fat,-0.9617205671331308,0.0
Libre GL,start,180,1,carbs,-0.16199248691197415,0.0
Libre GL,start,180,1,protein,0.36637083458640646,0.5
Libre GL,start,180,1,fat,0.5026157955943256,0.5
Libre GL,start,180,2,carbs,0.7607342020200779,1.0
Libre GL,start,180,2,protein,-0.44387266071738984,0.0
Libre GL,start,180,2,fat,-0.9234950152550233,0.0
Libre GL,start,180,5,carbs,0.48964311261954097,1.0
Libre GL,start,180,5,protein,0.10719098996640561,0.5
Libre GL,start,180,5,fat,0.02797959169614586,0.5
Libre GL,start,180,6,carbs,-0.05410643704832285,0.5
Libre GL,start,180,6,protein,-0.09167710590280556,0.5
Libre GL,start,180,6,fat,0.5699243060289815,0.5
Libre GL,start,180,8,carbs,0.8859024381627186,1.0
Libre GL,start,180,8,protein,0.8150515738561327,1.0
Libre GL,start,180,8,fat,0.6523724359262406,1.0
Libre GL,start,180,9,carbs,0.8352908378254095,0.5
Libre GL,start,180,9,protein,0.4059331397325406,0.5
Libre GL,start,180,9,fat,0.502112812379893,0.5
Libre GL,start,180,10,carbs,0.6044486834777208,1.0
Libre GL,start,180,10,protein,-0.7420093211006858,0.0
Libre GL,start,180,10,fat,0.6732280986613837,1.0
Libre GL,start,180,14,carbs,0.9394830455167859,1.0
Libre GL,start,180,14,protein,0.8796016409030494,1.0
Libre GL,start,180,14,fat,0.4336592796820935,1.0
Libre GL,start,180,17,carbs,0.8133851699390734,0.5
Libre GL,start,180,17,protein,0.08480281691114795,0.5
Libre GL,start,180,17,fat,0.01202817807113949,0.5
Libre GL,start,180,27,carbs,0.7311995440007049,1.0
Libre GL,start,180,27,protein,-0.1987043385163554,0.5
Libre GL,start,180,27,fat,0.8370775654245257,0.5
Libre GL,start,180,31,carbs,0.5428921896200268,0.5
Libre GL,start,180,31,protein,0.6415890662239194,0.5
Libre GL,start,180,31,fat,0.06614034985800168,0.5
Libre GL,start,180,32,carbs,-0.939528394216791,0.0
Libre GL,start,180,32,protein,-0.4387797476561498,0.5
Libre GL,start,180,32,fat,-0.9213420335246689,0.0
Libre GL,start,180,34,carbs,0.43275582216933817,0.5
Libre GL,start,180,34,protein,0.2943587713165475,0.5
