dataset,macro,feature,adjusted_for_other_macros,partial_rank_correlation,meals,people
CGMacros,Protein,peak_minute,True,-0.05884763820078909,652,34
CGMacros,Protein,trough,False,0.1037392529761406,652,34
CGMacros,Protein,trough,True,0.05454165621935565,652,34
CGMacros,Protein,end_change,False,0.0715135346766039,652,34
CGMacros,Protein,end_change,True,0.02182134085985702,652,34
CGMacros,Protein,response_std,False,-0.2113375365164586,652,34
CGMacros,Protein,response_std,True,-0.21530460540874252,652,34
CGMacros,Protein,rise_max,False,-0.12016664483131098,652,34
CGMacros,Protein,rise_max,True,-0.10546107776475151,652,34
CGMacros,Protein,fall_min,False,0.12443651877467407,652,34
CGMacros,Protein,fall_min,True,0.09635123457386419,652,34
CGMacros,Protein,negative_area,False,0.07622819747644084,652,34
CGMacros,Protein,negative_area,True,0.025586838521586518,652,34
CGMacros,Protein,tail_mean,False,0.04745631879757277,652,34
CGMacros,Protein,tail_mean,True,-0.004137098250127458,652,34
CGMacros,Protein,late_minus_early_peak,False,0.027575227972885072,652,34
CGMacros,Protein,late_minus_early_peak,True,-0.03900421835758729,652,34
CGMacros,Protein,early_signed_area,False,-0.09032366402710158,652,34
CGMacros,Protein,early_signed_area,True,-0.07425517804643089,652,34
CGMacros,Protein,early_positive_area,False,-0.11076764809133254,652,34
CGMacros,Protein,early_positive_area,True,-0.09778352792806365,652,34
CGMacros,Protein,middle_signed_area,False,-0.06111111197172158,652,34
CGMacros,Protein,middle_signed_area,True,-0.0992693898851805,652,34
CGMacros,Protein,middle_positive_area,False,-0.07564064452024151,652,34
CGMacros,Protein,middle_positive_area,True,-0.11371856017557938,652,34
CGMacros,Protein,late_signed_area,False,0.02160104934950773,652,34
CGMacros,Protein,late_signed_area,True,-0.02963643537556957,652,34
CGMacros,Protein,late_positive_area,False,0.012063092948081987,652,34
CGMacros,Protein,late_positive_area,True,-0.03797685371807228,652,34
CGMacros,Fat,baseline,False,-0.17359764045565915,652,34
CGMacros,Fat,baseline,True,-0.0956002239846942,652,34
CGMacros,Fat,pre_slope,False,-0.006935982893732033,652,34
CGMacros,Fat,pre_slope,True,-0.046775702759776085,652,34
CGMacros,Fat,peak_height,False,-0.003925542902874609,652,34
CGMacros,Fat,peak_height,True,-0.20699956412009426,652,34
CGMacros,Fat,peak_minute,False,0.1916609576429041,652,34
CGMacros,Fat,peak_minute,True,0.1341868579765169,652,34
CGMacros,Fat,trough,False,0.1738078103189934,652,34
CGMacros,Fat,trough,True,0.03016935598778493,652,34
CGMacros,Fat,end_change,False,0.1719064712835145,652,34
CGMacros,Fat,end_change,True,-0.012414455957417112,652,34
CGMacros,Fat,response_std,False,-0.06291014450016943,652,34
CGMacros,Fat,response_std,True,-0.2263490871176618,652,34
CGMacros,Fat,rise_max,False,-0.07158112116183371,652,34
CGMacros,Fat,rise_max,True,-0.23992121798903646,652,34
CGMacros,Fat,fall_min,False,0.1030905855518552,652,34
CGMacros,Fat,fall_min,True,0.18647282541987395,652,34
CGMacros,Fat,negative_area,False,0.17372601617008843,652,34
CGMacros,Fat,negative_area,True,0.009542788226402383,652,34
CGMacros,Fat,tail_mean,False,0.1701834018296361,652,34
CGMacros,Fat,tail_mean,True,-0.019736947951191727,652,34
CGMacros,Fat,late_minus_early_peak,False,0.20194385804781406,652,34
CGMacros,Fat,late_minus_early_peak,True,0.09379343324758192,652,34
CGMacros,Fat,early_signed_area,False,-0.060564556678646644,652,34
CGMacros,Fat,early_signed_area,True,-0.1936905075536507,652,34
CGMacros,Fat,early_positive_area,False,-0.05975676671303693,652,34
CGMacros,Fat,early_positive_area,True,-0.20261092126983224,652,34
CGMacros,Fat,middle_signed_area,False,0.09229197159384464,652,34
CGMacros,Fat,middle_signed_area,True,-0.11624418515333153,652,34
CGMacros,Fat,middle_positive_area,False,0.08425853784099567,652,34
CGMacros,Fat,middle_positive_area,True,-0.13101957820234467,652,34
CGMacros,Fat,late_signed_area,False,0.16078954783720897,652,34
CGMacros,Fat,late_signed_area,True,-0.0424875458778326,652,34
CGMacros,Fat,late_positive_area,False,0.15393151709667216,652,34
CGMacros,Fat,late_positive_area,True,-0.06812165438073604,652,34
