run,training_hits,n,hits,mape,mae,max_ape
85,64,44,10,28.98957879557053,56.53036836809162,92.07209881822708
86,64,44,14,26.05114408598607,51.67482580417856,93.62434163255978
87,64,44,12,24.65794353815193,50.80226200142358,94.92233477061612
88,64,44,12,23.54389038863444,46.49581503262812,67.37160226005409
89,64,44,12,26.19071264647548,53.442137857951735,92.07209881822708
90,64,44,13,25.49841657017305,53.32607852835345,93.47339300721003
91,64,44,11,24.026025550333845,49.20771045827159,68.02284394074168
92,64,44,13,23.920283555335505,48.82049863628599,85.5765111263147
93,64,44,11,28.92884718568281,57.74228905853802,113.12676882850576
94,64,44,15,24.951890221979507,50.47590326661289,142.17318240803093
95,64,44,16,22.46641314543053,42.913800514261915,112.66892348148652
96,64,44,9,25.931844950469756,50.229690986943275,102.2618770525929
97,64,44,15,24.717262423147783,50.255357385099884,119.603296123103
98,64,44,11,23.88796646051576,45.17791250777133,81.04861438809651
99,64,44,12,24.51389074289634,49.45056288039657,100.37593963102593
